id;so_quyet_dinh;ngay_quyet_dinh;so_hd;ngay_hd;noi_dung;ngay_bat_dau;ngay_ket_thuc;ghi_chu;ngay_tao;so_bn_kham_dieu_tri;so_bn_phau_thuat;so_can_bo_chuyen_giao;luu_tru;tien_an;tien_o;tien_di_lai;tai_lieu;giang_day;khac
1;Incredible time-frame hack;2022-06-22T15:49:15;generate;2022-06-23T02:29:43;Landing blockchains;2022-06-22T17:25:11;2022-06-22T08:55:11;real-time infomediaries;2022-06-23T04:49:52;Checking panel;National Trail;Vista Peso;Public-key Director;withdrawal;Bridge Credit;Parkways;Associate Automated Technician;compressing Toys paradigm;Comoro
2;Unbranded array;2022-06-22T13:53:48;Venezuela Dakota;2022-06-22T09:25:00;Cheese;2022-06-22T21:33:32;2022-06-22T15:08:06;Account networks virtual;2022-06-22T10:02:13;turquoise Administrator;Expanded deposit parsing;driver hacking generate;sky Mobility;Pizza ADP;Square one-to-one;Refined Technician;deposit;Berkshire;Innovative compressing Executive
3;Compatible array;2022-06-22T05:16:42;Supervisor Peso Industrial;2022-06-23T00:53:32;deploy Branding;2022-06-22T09:31:56;2022-06-23T03:19:15;Car Savings paradigm;2022-06-23T02:59:23;Automotive Investor;Steel Unbranded;Peso;payment;enhance Ergonomic;groupware Market;backing orchestrate;structure Money Plastic;Squares Cambridgeshire;Greece
4;transparent;2022-06-23T03:37:58;cutting-edge;2022-06-22T06:18:55;Centralized turquoise;2022-06-23T02:41:02;2022-06-22T13:45:43;EXE utilize;2022-06-22T20:17:01;payment Towels;Ball;National;one-to-one;Intelligent Bedfordshire;Buckinghamshire Steel open;Data;Buckinghamshire;Vanuatu;indigo Movies EXE
5;navigate Kazakhstan;2022-06-22T19:34:31;connecting efficient Dollar;2022-06-22T09:42:28;withdrawal conglomeration;2022-06-22T11:15:45;2022-06-22T08:56:35;bypass e-markets;2022-06-22T12:02:17;Account Montenegro;Specialist;Saudi Buckinghamshire Village;Gorgeous;COM Rustic Incredible;invoice;Arizona;Missouri;ROI Terrace;Baby
6;Supervisor Pre-emptive;2022-06-22T15:03:53;transmitting transition;2022-06-22T19:20:26;Kwacha action-items Cotton;2022-06-22T08:54:18;2022-06-22T14:47:56;Greenland Licensed;2022-06-22T23:52:05;Hill;back Keyboard;CSS;Books Borders;lime invoice;Tactics;paradigms Nepalese;Object-based;Rustic;Movies RSS Money
7;monitor Baby withdrawal;2022-06-22T05:18:51;neural;2022-06-23T00:04:55;Indian Associate;2022-06-22T17:14:36;2022-06-22T09:20:39;Dynamic Ergonomic Account;2022-06-23T03:55:02;Keyboard;purple;Metal;indexing Granite Fiji;streamline District;Won info-mediaries reintermediate;discrete mobile rich;Rustic Sleek users;Fish Mouse;Data
8;Health Profound interface;2022-06-22T12:56:01;viral;2022-06-22T14:08:11;circuit;2022-06-22T10:02:28;2022-06-22T14:30:29;Singapore microchip solution-oriented;2022-06-22T17:09:02;SAS;green;Illinois application;Industrial;USB Crossing recontextualize;Credit solutions;Infrastructure;e-business;Upgradable;Customer
9;deposit;2022-06-22T21:55:02;methodical cross-platform Wells;2022-06-23T01:07:14;Lead Euro Regional;2022-06-22T09:40:05;2022-06-23T03:01:35;program utilize e-commerce;2022-06-22T11:06:34;composite Pound;Wooden Kwacha;Plaza;invoice models Chicken;Metal;Jordan index Kip;Plastic;Tennessee Keyboard;zero;driver withdrawal Investor
10;Mississippi Investment;2022-06-23T03:42:04;Cross-platform;2022-06-22T07:23:25;Health Fresh;2022-06-23T03:56:58;2022-06-22T14:36:23;facilitate;2022-06-22T06:07:31;redundant;Dinar Botswana synthesize;Games Chicken hacking;Bermuda withdrawal;Wall hack Guatemala;Executive Cambridgeshire;Organic Agent Account;bus primary up;magenta quantifying;matrix
